idx distance
1400 1.737
1403 1.737
1406 1.739
1409 1.737
1412 1.738
1415 1.735
1418 1.736
1421 1.735
1424 1.738
1427 1.737
1430 1.739
1433 1.738
1436 1.738
1439 1.738
1442 1.739
1445 1.741
1448 1.739
1451 1.741
1454 1.74
1457 1.74
1460 1.739
1463 1.738
1466 1.737
1469 1.737
1472 1.737
1475 1.738
1478 1.737
1481 1.736
1484 1.736
1487 1.736
1490 1.737
1493 1.737
1496 1.736
1499 1.736
1502 1.739
1505 1.737
1508 1.737
1511 1.738
1514 1.736
1517 1.74
1520 1.738
1523 1.738
1526 1.739
1529 1.739
1532 1.739
1535 1.738
1538 1.738
1541 1.738
1544 1.737
1547 1.737
1550 1.737
1553 1.739
1556 1.737
1559 1.738
1562 1.738
1565 1.74
1568 1.74
1571 1.737
1574 1.738
1577 1.738
1580 1.737
1583 1.737
1586 1.738
1589 1.737
1592 1.737
1595 1.737
1598 1.737
1601 1.737
1604 1.737
1607 1.737
1610 1.738
1613 1.737
1616 1.737
1619 1.738
1622 1.739
1625 1.737
1628 1.737
1631 1.737
1634 1.739
1637 1.737
1640 1.737
1643 1.739
1646 1.738
1649 1.74
1652 1.738
1655 1.738
1658 1.738
1661 1.737
1664 1.736
1667 1.736
1670 1.735
1673 1.735
1676 1.736
1679 1.736
1682 1.738
1685 1.739
1688 1.74
1691 1.738
1694 1.738
1697 1.738
1700 1.738
1703 1.737
1706 1.738
1709 1.738
1712 1.738
1715 1.739
1718 1.739
1721 1.739
1724 1.739
1727 1.738
1730 1.737
1733 1.737
1736 1.737
1739 1.737
1742 1.738
1745 1.737
1748 1.737
1751 1.737
1754 1.738
1757 1.736
1760 1.736
1763 1.736
1766 1.738
1769 1.737
1772 1.737
1775 1.738
1778 1.74
1781 1.737
1784 1.737
1787 1.738
1790 1.736
1793 1.739
1796 1.739
1799 1.738
1802 1.737
1805 1.737
1808 1.737
1811 1.739
1814 1.737
1817 1.738
1820 1.737
1823 1.736
1826 1.737
1829 1.737
1832 1.737
1835 1.738
1838 1.737
1841 1.738
1844 1.739
1847 1.738
1850 1.737
1853 1.737
1856 1.737
1859 1.737
1862 1.738
1865 1.737
1868 1.738
1871 1.738
1874 1.74
1877 1.739
1880 1.737
1883 1.738
1886 1.737
1889 1.737
1892 1.738
1895 1.738
1898 1.738
1901 1.738
1904 1.739
1907 1.805
1910 1.805
1913 1.807
1916 1.808
1919 1.808
1922 1.745
1925 1.75
1928 1.758
1931 1.762
1934 1.77
1937 1.777
1940 1.785
1943 1.795
1946 NaN
1949 1.811
1952 1.825
1955 1.83
1958 1.837
1961 1.848
1964 1.852
