idx distance
1800 1.737
1803 1.737
1806 1.737
1809 1.737
1812 1.737
1815 1.737
1818 1.737
1821 1.737
1824 1.737
1827 1.737
1830 1.737
1833 1.738
1836 1.738
1839 1.738
1842 1.738
1845 1.738
1848 1.738
1851 1.737
1854 1.737
1857 1.737
1860 1.737
1863 1.737
1866 1.737
1869 1.738
1872 1.738
1875 1.738
1878 1.737
1881 1.737
1884 1.737
1887 1.737
1890 1.737
1893 1.738
1896 1.738
1899 1.738
1902 1.738
1905 1.737
1908 1.805
1911 1.805
1914 1.807
1917 1.809
1920 1.81
1923 1.746
1926 1.752
1929 1.759
1932 1.764
1935 1.771
1938 1.78
1941 1.788
1944 1.797
1947 1.803
1950 1.815
1953 1.827
1956 1.832
1959 1.84
1962 1.851
1965 1.856
1968 1.866
1971 1.875
1974 1.887
1977 1.896
1980 1.901
1983 1.903
1986 1.906
1989 1.907
1992 1.904
1995 1.903
1998 1.906
2001 1.906
2004 1.9
2007 1.9
2010 1.895
2013 1.891
2016 1.888
2019 1.885
2022 1.883
2025 1.881
2028 1.884
2031 1.884
2034 1.886
2037 1.893
2040 1.899
2043 1.905
2046 1.909
2049 1.916
2052 1.915
2055 1.914
2058 1.909
2061 1.909
2064 1.911
2067 1.912
2070 1.914
2073 1.919
2076 1.921
2079 1.918
2082 1.917
2085 1.913
2088 1.908
2091 1.904
2094 1.897
2097 1.958
2100 1.952
2103 1.945
2106 1.94
2109 1.938
2112 1.869
2115 1.868
2118 1.873
2121 1.869
2124 1.873
2127 1.878
2130 1.882
2133 1.883
2136 1.885
2139 1.888
2142 1.887
2145 1.889
2148 1.892
2151 1.893
2154 1.898
2157 1.902
2160 1.903
2163 1.903
2166 1.903
2169 1.908
2172 1.91
2175 1.909
2178 1.917
2181 1.922
2184 1.924
2187 1.929
2190 1.935
2193 1.935
2196 1.923
2199 1.916
2202 1.91
2205 1.896
2208 1.89
2211 1.892
2214 1.888
2217 1.881
2220 NaN
2223 1.874
2226 1.859
2229 1.848
2232 1.841
2235 1.838
2238 1.834
2241 1.832
2244 1.828
2247 1.828
2250 1.825
2253 1.822
2256 1.832
2259 1.838
2262 1.84
2265 1.842
2268 1.84
2271 1.826
2274 1.808
2277 1.787
2280 1.716
2283 1.626
2286 1.517
2289 1.411
2292 1.311
2295 1.24
2298 1.204
2301 1.195
2304 1.192
2307 1.188
2310 1.185
2313 1.181
2316 1.177
2319 1.172
2322 1.168
2325 1.163
2328 1.159
2331 1.155
2334 1.152
2337 1.151
2340 1.15
2343 1.15
2346 1.152
2349 1.153
2352 1.156
2355 1.159
2358 1.163
2361 1.168
2364 1.172
2367 1.175
2370 1.178
2373 1.182
2376 1.182
2379 1.183
2382 1.185
2385 1.187
2388 1.189
2391 1.193
2394 1.197
2397 1.2
2400 1.203
2403 1.205
2406 1.206
2409 1.207
2412 1.206
2415 1.205
2418 1.203
2421 1.201
2424 1.198
2427 1.195
2430 1.192
2433 1.188
2436 1.183
2439 1.178
2442 1.173
2445 1.167
2448 1.162
2451 1.157
2454 1.152
2457 1.149
2460 1.146
2463 1.144
2466 1.143
2469 1.143
2472 1.144
2475 1.146
2478 1.148
2481 1.151
2484 1.154
2487 1.158
2490 1.161
2493 1.165
2496 1.168
2499 1.171
2502 1.174
2505 1.176
2508 1.178
2511 1.18
2514 1.182
2517 1.183
2520 1.184
2523 1.184
2526 1.184
2529 1.184
2532 1.182
2535 1.18
2538 1.176
2541 1.172
2544 1.166
2547 1.16
2550 1.153
2553 1.146
2556 1.14
2559 1.133
2562 1.127
2565 1.121
2568 1.116
2571 1.111
2574 1.107
2577 1.105
2580 1.103
2583 1.102
2586 1.102
2589 1.104
2592 1.105
2595 1.108
2598 1.11
2601 1.114
2604 1.117
2607 1.12
2610 1.124
2613 1.127
2616 1.13
2619 1.132
2622 1.134
2625 1.134
2628 1.134
2631 1.134
2634 1.133
2637 1.132
2640 1.13
2643 1.127
2646 1.123
2649 1.118
2652 1.112
2655 1.106
2658 1.1
2661 1.092
2664 1.085
2667 1.078
2670 1.072
2673 1.065
2676 1.06
2679 1.055
2682 1.051
2685 1.048
2688 1.046
2691 1.044
2694 1.043
2697 1.043
2700 1.043
2703 1.045
2706 1.047
2709 1.051
2712 1.055
2715 1.059
2718 1.064
2721 1.069
2724 1.073
2727 1.078
2730 1.083
2733 1.087
2736 1.091
2739 1.095
2742 1.098
2745 1.1
2748 1.102
2751 1.102
2754 1.101
2757 1.099
2760 1.096
2763 1.093
2766 1.089
2769 1.084
2772 1.079
2775 1.074
2778 1.068
2781 1.062
2784 1.056
2787 1.051
2790 1.046
2793 1.042
2796 1.038
2799 1.034
2802 1.032
2805 1.03
2808 1.029
2811 1.028
2814 1.028
2817 1.03
2820 1.031
2823 1.033
2826 1.036
2829 1.04
2832 1.043
2835 1.046
2838 1.049
2841 1.052
2844 1.055
2847 1.058
2850 1.06
2853 1.062
2856 1.064
2859 1.065
2862 1.066
2865 1.065
2868 1.064
2871 1.062
2874 1.058
2877 1.054
2880 1.049
2883 1.044
2886 1.038
2889 1.032
2892 1.025
2895 1.018
2898 1.011
2901 1.004
2904 0.998
2907 0.992
2910 0.986
2913 0.981
2916 0.977
2919 0.974
2922 0.971
2925 0.97
2928 0.969
2931 0.969
2934 0.97
2937 0.97
2940 0.972
2943 0.973
2946 0.975
2949 0.977
2952 0.979
2955 0.981
2958 0.983
2961 0.984
2964 0.985
2967 0.985
2970 0.985
2973 0.984
2976 0.983
2979 0.981
2982 0.978
2985 0.975
2988 0.97
2991 0.966
2994 0.961
2997 0.955
3000 0.949
3003 0.942
3006 0.935
3009 0.928
3012 0.921
3015 0.915
3018 1.0
3021 0.995
3024 0.991
3027 0.986
3030 0.983
3033 0.98
3036 0.887
3039 0.886
3042 0.886
3045 0.887
3048 0.888
3051 0.982
3054 0.984
3057 0.988
3060 0.992
3063 0.996
3066 0.909
3069 0.914
3072 0.919
3075 0.923
3078 0.927
3081 0.93
3084 0.933
3087 0.935
3090 0.936
3093 0.937
3096 0.936
3099 0.933
3102 0.93
3105 0.926
3108 0.921
3111 0.916
3114 0.91
3117 0.904
3120 0.897
3123 0.89
3126 0.882
3129 0.967
3132 0.96
3135 0.953
3138 1.04
3141 1.034
3144 1.029
3147 0.933
3150 0.93
3153 0.835
3156 0.834
3159 0.834
3162 0.835
3165 0.837
3168 0.84
3171 0.842
3174 0.846
3177 0.85
3180 0.854
3183 0.858
3186 0.862
3189 0.866
3192 0.868
3195 0.87
3198 0.872
3201 0.872
3204 0.871
3207 0.869
3210 0.867
3213 0.863
3216 0.857
3219 0.851
3222 0.843
3225 0.834
3228 0.822
3231 0.807
3234 0.834
3237 0.953
3240 1.051
3243 1.227
3246 1.332
3249 1.433
3252 1.396
3255 1.375
3258 1.281
3261 1.258
3264 1.246
3267 1.248
3270 1.244
3273 1.245
3276 1.24
3279 1.236
3282 1.224
3285 1.214
3288 1.213
3291 1.205
3294 1.206
3297 1.205
3300 1.204
3303 1.204
3306 1.203
3309 1.201
3312 1.201
3315 1.199
3318 1.195
3321 1.213
3324 1.221
3327 1.215
3330 1.209
3333 1.205
3336 1.179
3339 1.165
3342 1.164
3345 1.162
3348 1.164
3351 1.161
3354 1.157
3357 1.153
3360 1.147
3363 1.143
3366 1.221
3369 1.218
3372 1.218
3375 1.22
3378 1.221
3381 1.137
3384 1.14
3387 1.142
3390 1.228
3393 1.232
3396 1.236
3399 1.241
3402 1.242
3405 1.245
3408 1.161
3411 1.168
3414 1.169
3417 1.173
3420 1.175
3423 1.179
3426 1.192
3429 1.194
3432 1.194
3435 1.194
3438 1.198
3441 1.189
3444 1.186
3447 1.19
3450 1.192
3453 1.194
3456 1.196
3459 1.199
3462 1.203
3465 1.207
3468 1.21
3471 1.214
3474 1.216
3477 1.218
3480 1.221
3483 1.225
3486 1.228
3489 1.233
3492 1.239
3495 1.241
3498 1.243
3501 1.247
3504 1.253
3507 1.251
3510 1.257
3513 1.261
3516 1.262
3519 1.264
3522 1.274
3525 1.274
3528 1.275
3531 1.278
3534 1.281
3537 1.273
3540 1.273
3543 1.284
3546 1.283
3549 1.286
3552 1.285
3555 1.285
3558 1.281
3561 1.284
3564 1.283
3567 1.287
3570 1.29
3573 1.293
3576 1.296
3579 1.297
3582 1.296
3585 1.375
3588 1.377
3591 1.371
3594 1.372
3597 1.375
3600 1.302
3603 1.303
3606 1.304
3609 1.304
3612 1.31
3615 1.308
3618 1.306
3621 1.304
3624 1.306
3627 1.308
3630 1.303
3633 1.299
3636 1.3
3639 1.3
3642 1.298
3645 1.297
3648 1.296
3651 1.295
3654 1.295
3657 1.295
3660 1.293
3663 1.294
3666 1.294
3669 1.299
3672 1.298
3675 1.301
3678 1.301
3681 1.301
3684 1.302
3687 1.302
3690 1.303
3693 1.301
3696 1.3
3699 1.3
3702 1.315
3705 1.313
3708 1.313
3711 1.318
3714 1.319
3717 1.305
3720 1.297
3723 1.303
3726 1.3
3729 1.303
3732 1.307
3735 1.31
3738 1.307
3741 1.32
3744 1.319
3747 1.317
3750 1.321
3753 1.322
3756 1.31
3759 1.312
3762 1.316
3765 1.318
3768 1.316
3771 1.318
3774 1.32
3777 1.321
3780 1.318
3783 1.318
3786 1.318
3789 1.334
3792 1.338
3795 1.341
3798 1.344
3801 1.344
3804 1.334
3807 1.325
3810 1.325
3813 1.324
3816 1.326
3819 1.329
3822 1.33
3825 1.333
3828 1.334
3831 1.337
3834 1.339
3837 1.341
3840 1.343
3843 1.347
3846 1.351
3849 1.354
3852 1.358
3855 1.363
3858 1.365
3861 1.366
3864 1.369
3867 1.372
3870 1.372
3873 1.373
3876 1.374
3879 1.376
3882 1.377
3885 1.378
3888 1.382
3891 1.388
3894 1.392
3897 1.395
3900 1.399
3903 1.403
3906 1.404
3909 1.405
3912 1.405
3915 1.407
3918 1.41
3921 1.412
3924 1.416
3927 1.423
3930 1.429
3933 1.432
3936 1.44
3939 1.443
3942 1.446
3945 1.447
3948 1.448
3951 1.445
3954 1.447
3957 1.447
3960 1.449
3963 1.452
3966 1.454
3969 1.454
3972 1.462
3975 1.461
3978 1.46
3981 1.46
3984 1.46
3987 1.462
3990 1.465
3993 1.469
3996 1.477
3999 1.478
4002 1.474
4005 1.477
4008 1.487
4011 1.479
4014 1.481
4017 1.48
4020 1.48
4023 1.474
4026 1.471
4029 1.473
4032 1.474
4035 1.473
4038 1.471
4041 1.47
4044 1.468
4047 1.468
4050 1.468
4053 1.469
4056 1.467
4059 1.464
4062 1.466
4065 1.464
4068 1.462
4071 1.462
4074 1.475
4077 1.471
4080 1.474
4083 1.474
4086 1.474
4089 1.469
4092 1.462
4095 1.462
4098 1.463
4101 1.466
4104 1.466
4107 1.464
4110 1.462
4113 1.459
4116 1.465
4119 1.463
4122 1.466
4125 1.467
4128 1.467
4131 1.469
